Latitude (decimal degrees):	53.528
Longitude (decimal degrees):	10.224
Elevation (m):	30
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	0.6
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,1.94,2.21,0.0
20200101:0111,0.0,0.0,0.0,1.58,2.14,0.0
20200101:0211,0.0,0.0,0.0,1.65,2.07,0.0
20200101:0311,0.0,0.0,0.0,1.77,2.14,0.0
20200101:0411,0.0,0.0,0.0,1.87,2.07,0.0
20200101:0511,0.0,0.0,0.0,2.11,2.07,0.0
20200101:0611,0.0,0.0,0.0,2.01,2.07,0.0
20200101:0711,0.0,0.0,0.0,1.73,2.0,0.0
20200101:0811,17.5,46.12,3.03,1.45,1.93,0.0
20200101:0911,68.65,141.71,8.35,1.7,1.79,0.0
20200101:1011,253.71,483.77,11.92,2.17,1.79,0.0
20200101:1111,264.74,505.83,13.42,2.95,2.21,0.0
20200101:1211,298.08,571.04,12.74,3.34,2.34,0.0
20200101:1311,201.69,384.64,9.94,3.33,2.55,0.0
20200101:1411,107.87,211.32,5.24,2.77,2.55,0.0
20200101:1511,0.0,0.0,0.0,1.88,2.55,0.0
20200101:1611,0.0,0.0,0.0,1.11,2.48,0.0
20200101:1711,0.0,0.0,0.0,0.36,2.48,0.0
20200101:1811,0.0,0.0,0.0,-0.18,2.48,0.0
20200101:1911,0.0,0.0,0.0,-0.58,2.62,0.0
20200101:2011,0.0,0.0,0.0,-0.61,2.69,0.0
20200101:2111,0.0,0.0,0.0,-0.8,2.55,0.0
20200101:2211,0.0,0.0,0.0,-0.98,2.34,0.0
20200101:2311,0.0,0.0,0.0,-1.12,2.34,0.0
20200102:0011,0.0,0.0,0.0,-1.22,2.41,0.0
20200102:0111,0.0,0.0,0.0,-1.33,2.55,0.0
20200102:0211,0.0,0.0,0.0,-1.28,2.62,0.0
20200102:0311,0.0,0.0,0.0,-1.41,2.69,0.0
20200102:0411,0.0,0.0,0.0,-1.39,2.83,0.0
20200102:0511,0.0,0.0,0.0,-1.38,2.83,0.0
20200102:0611,0.0,0.0,0.0,-1.06,2.83,0.0
20200102:0711,0.0,0.0,0.0,-1.53,2.55,0.0
20200102:0811,86.15,168.45,3.06,-1.62,2.62,0.0
20200102:0911,254.16,473.41,8.4,-0.92,2.62,0.0
20200102:1011,326.43,614.1,11.98,0.07,2.9,0.0
20200102:1111,325.19,610.06,13.51,0.49,3.66,0.0
20200102:1211,105.95,208.02,12.84,0.8,3.72,0.0
20200102:1311,10.4,32.38,10.05,0.77,3.86,0.0
20200102:1411,1.16,9.74,5.36,0.51,3.59,0.0
20200102:1511,0.0,0.0,0.0,0.23,3.72,0.0
20200102:1611,0.0,0.0,0.0,0.25,3.72,0.0
20200102:1711,0.0,0.0,0.0,0.75,3.59,0.0
20200102:1811,0.0,0.0,0.0,1.55,3.38,0.0
20200102:1911,0.0,0.0,0.0,0.95,3.52,0.0
20200102:2011,0.0,0.0,0.0,1.67,3.72,0.0
20200102:2111,0.0,0.0,0.0,2.3,4.0,0.0
20200102:2211,0.0,0.0,0.0,2.8,4.21,0.0
20200102:2311,0.0,0.0,0.0,3.22,4.55,0.0
20200103:0011,0.0,0.0,0.0,3.48,4.83,0.0
20200103:0111,0.0,0.0,0.0,3.65,4.83,0.0
20200103:0211,0.0,0.0,0.0,3.8,4.69,0.0
20200103:0311,0.0,0.0,0.0,3.99,4.55,0.0
20200103:0411,0.0,0.0,0.0,4.23,4.69,0.0
20200103:0511,0.0,0.0,0.0,4.47,4.76,0.0
20200103:0611,0.0,0.0,0.0,4.75,4.83,0.0
20200103:0711,0.0,0.0,0.0,5.32,4.97,0.0
20200103:0811,0.0,2.34,3.1,5.72,5.03,0.0
20200103:0911,9.74,31.51,8.46,6.03,4.9,0.0
20200103:1011,79.22,163.76,12.05,6.23,4.83,0.0
20200103:1111,11.36,35.2,13.6,6.51,4.76,0.0
20200103:1211,7.52,26.58,12.95,6.67,4.69,0.0
20200103:1311,1.34,10.51,10.17,6.92,4.69,0.0
20200103:1411,0.86,8.93,5.49,7.07,4.55,0.0
20200103:1511,0.0,0.0,0.0,7.18,4.34,0.0
20200103:1611,0.0,0.0,0.0,7.29,4.0,0.0
20200103:1711,0.0,0.0,0.0,7.11,3.45,0.0
20200103:1811,0.0,0.0,0.0,6.17,4.69,0.0
20200103:1911,0.0,0.0,0.0,5.87,4.14,0.0
20200103:2011,0.0,0.0,0.0,4.82,3.79,0.0
