Latitude (decimal degrees):	48.698
Longitude (decimal degrees):	9.042
Elevation (m):	488
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	0.6
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,-2.66,1.45,0.0
20200101:0110,0.0,0.0,0.0,-2.88,1.38,0.0
20200101:0210,0.0,0.0,0.0,-3.22,1.38,0.0
20200101:0310,0.0,0.0,0.0,-3.29,1.31,0.0
20200101:0410,0.0,0.0,0.0,-3.73,1.45,0.0
20200101:0510,0.0,0.0,0.0,-3.89,1.52,0.0
20200101:0610,0.0,0.0,0.0,-4.11,1.52,0.0
20200101:0710,0.0,0.0,0.0,-4.28,1.59,0.0
20200101:0810,131.55,254.68,5.97,-3.78,1.52,0.0
20200101:0910,282.64,537.07,12.09,-1.11,1.24,0.0
20200101:1010,359.96,697.63,16.28,1.16,1.31,0.0
20200101:1110,395.16,777.26,18.2,2.77,1.38,0.0
20200101:1210,376.88,742.52,17.63,3.7,1.31,0.0
20200101:1310,321.82,630.95,14.65,4.23,1.1,0.0
20200101:1410,228.43,446.19,9.53,3.98,0.97,0.0
20200101:1510,1.96,12.24,2.7,2.82,1.31,0.0
20200101:1610,0.0,0.0,0.0,0.62,1.59,0.0
20200101:1710,0.0,0.0,0.0,-1.48,1.79,0.0
20200101:1810,0.0,0.0,0.0,-2.73,1.79,0.0
20200101:1910,0.0,0.0,0.0,-3.26,1.72,0.0
20200101:2010,0.0,0.0,0.0,-3.7,1.59,0.0
20200101:2110,0.0,0.0,0.0,-3.88,1.52,0.0
20200101:2210,0.0,0.0,0.0,-4.04,1.45,0.0
20200101:2310,0.0,0.0,0.0,-4.13,1.45,0.0
20200102:0010,0.0,0.0,0.0,-4.18,1.45,0.0
20200102:0110,0.0,0.0,0.0,-4.23,1.45,0.0
20200102:0210,0.0,0.0,0.0,-4.11,1.45,0.0
20200102:0310,0.0,0.0,0.0,-3.98,1.45,0.0
20200102:0410,0.0,0.0,0.0,-3.86,1.45,0.0
20200102:0510,0.0,0.0,0.0,-3.76,1.45,0.0
20200102:0610,0.0,0.0,0.0,-3.73,1.45,0.0
20200102:0710,0.0,0.0,0.0,-3.61,1.31,0.0
20200102:0810,129.11,251.43,6.0,-3.08,1.17,0.0
20200102:0910,270.53,514.53,12.13,-1.08,1.03,0.0
20200102:1010,331.93,644.29,16.34,1.64,0.97,0.0
20200102:1110,382.77,759.56,18.28,3.57,0.9,0.0
20200102:1210,360.61,718.57,17.73,4.95,0.76,0.0
20200102:1310,311.54,616.07,14.76,5.45,0.76,0.0
20200102:1410,227.78,447.27,9.65,5.33,1.03,0.0
20200102:1510,1.36,10.49,2.82,4.01,1.79,0.0
20200102:1610,0.0,0.0,0.0,1.53,2.07,0.0
20200102:1710,0.0,0.0,0.0,-0.08,2.0,0.0
20200102:1810,0.0,0.0,0.0,-0.57,2.14,0.0
20200102:1910,0.0,0.0,0.0,-0.81,2.28,0.0
20200102:2010,0.0,0.0,0.0,-0.82,2.41,0.0
20200102:2110,0.0,0.0,0.0,-0.54,2.48,0.0
20200102:2210,0.0,0.0,0.0,-0.24,2.55,0.0
20200102:2310,0.0,0.0,0.0,0.28,2.62,0.0
20200103:0010,0.0,0.0,0.0,0.62,2.69,0.0
20200103:0110,0.0,0.0,0.0,0.86,2.69,0.0
20200103:0210,0.0,0.0,0.0,1.54,2.55,0.0
20200103:0310,0.0,0.0,0.0,1.65,2.55,0.0
20200103:0410,0.0,0.0,0.0,1.88,2.62,0.0
20200103:0510,0.0,0.0,0.0,2.19,2.62,0.0
20200103:0610,0.0,0.0,0.0,2.78,2.69,0.0
20200103:0710,0.0,0.0,0.0,2.34,3.24,0.0
20200103:0810,38.65,88.93,6.03,3.1,3.45,0.0
20200103:0910,30.25,73.1,12.17,4.56,3.59,0.0
20200103:1010,153.34,300.08,16.41,6.31,3.86,0.0
20200103:1110,39.38,91.78,18.37,7.2,4.14,0.0
20200103:1210,31.7,76.95,17.84,7.48,4.21,0.0
20200103:1310,190.8,370.39,14.88,7.13,4.0,0.0
20200103:1410,27.94,69.03,9.78,6.37,3.86,0.0
20200103:1510,0.0,3.5,2.96,5.83,3.93,0.0
20200103:1610,0.0,0.0,0.0,5.74,4.0,0.0
20200103:1710,0.0,0.0,0.0,5.65,4.0,0.0
20200103:1810,0.0,0.0,0.0,5.46,4.07,0.0
20200103:1910,0.0,0.0,0.0,5.17,4.28,0.0
20200103:2010,0.0,0.0,0.0,4.97,4.21,0.0
20200103:2110,0.0,0.0,0.0,4.84,4.21,0.0
20200103:2210,0.0,0.0,0.0,4.84,4.07,0.0
20200103:2310,0.0,0.0,0.0,4.75,3.93,0.0
20200104:0010,0.0,0.0,0.0,4.77,3.66,0.0
20200104:0110,0.0,0.0,0.0,4.85,3.31,0.0
20200104:0210,0.0,0.0,0.0,4.87,2.9,0.0
20200104:0310,0.0,0.0,0.0,4.8,2.48,0.0
20200104:0410,0.0,0.0,0.0,4.63,2.21,0.0
20200104:0510,0.0,0.0,0.0,4.16,2.28,0.0
20200104:0610,0.0,0.0,0.0,3.39,2.48,0.0
20200104:0710,0.0,0.0,0.0,3.25,2.28,0.0
20200104:0810,42.07,95.4,6.06,2.73,2.14,0.0
20200104:0910,145.0,281.87,12.23,2.62,2.28,0.0
20200104:1010,132.4,258.66,16.49,2.98,3.03,0.0
20200104:1110,58.69,126.19,18.46,3.33,3.59,0.0
20200104:1210,91.61,185.65,17.95,3.51,3.86,0.0
20200104:1310,115.07,227.29,15.01,3.45,3.93,0.0
20200104:1410,186.11,357.32,9.92,3.35,3.93,0.0
20200104:1510,2.26,13.12,3.1,3.07,3.79,0.0
20200104:1610,0.0,0.0,0.0,2.66,3.79,0.0
20200104:1710,0.0,0.0,0.0,2.41,3.79,0.0
20200104:1810,0.0,0.0,0.0,2.31,3.72,0.0
20200104:1910,0.0,0.0,0.0,2.61,3.52,0.0
20200104:2010,0.0,0.0,0.0,2.54,3.38,0.0
20200104:2110,0.0,0.0,0.0,2.53,3.24,0.0
20200104:2210,0.0,0.0,0.0,2.45,3.17,0.0
20200104:2310,0.0,0.0,0.0,2.09,2.97,0.0
20200105:0010,0.0,0.0,0.0,1.97,2.9,0.0
20200105:0110,0.0,0.0,0.0,1.92,2.69,0.0
20200105:0210,0.0,0.0,0.0,1.85,2.28,0.0
20200105:0310,0.0,0.0,0.0,1.93,2.07,0.0
20200105:0410,0.0,0.0,0.0,1.92,1.86,0.0
20200105:0510,0.0,0.0,0.0,1.95,1.59,0.0
20200105:0610,0.0,0.0,0.0,1.83,1.45,0.0
20200105:0710,0.0,0.0,0.0,1.95,1.03,0.0
20200105:0810,12.46,37.03,6.11,2.04,0.9,0.0
20200105:0910,31.88,75.85,12.29,2.36,0.62,0.0
20200105:1010,86.61,177.36,16.57,2.8,0.62,0.0
20200105:1110,57.28,124.24,18.57,3.32,0.55,0.0
20200105:1210,55.76,121.6,18.07,3.71,0.48,0.0
20200105:1310,33.78,80.17,15.14,4.14,0.41,0.0
20200105:1410,37.9,87.81,10.06,4.2,0.48,0.0
20200105:1510,1.64,11.37,3.24,3.88,0.55,0.0
20200105:1610,0.0,0.0,0.0,3.02,0.62,0.0
20200105:1710,0.0,0.0,0.0,1.73,1.03,0.0
20200105:1810,0.0,0.0,0.0,0.13,1.45,0.0
20200105:1910,0.0,0.0,0.0,0.37,1.59,0.0
20200105:2010,0.0,0.0,0.0,-0.28,1.72,0.0
20200105:2110,0.0,0.0,0.0,-0.6,1.66,0.0
20200105:2210,0.0,0.0,0.0,-1.43,1.52,0.0
20200105:2310,0.0,0.0,0.0,-1.73,1.38,0.0
20200106:0010,0.0,0.0,0.0,-2.01,1.24,0.0
20200106:0110,0.0,0.0,0.0,-2.18,1.1,0.0
20200106:0210,0.0,0.0,0.0,-2.33,1.1,0.0
20200106:0310,0.0,0.0,0.0,-2.45,1.17,0.0
20200106:0410,0.0,0.0,0.0,-2.65,1.24,0.0
20200106:0510,0.0,0.0,0.0,-2.97,1.38,0.0
20200106:0610,0.0,0.0,0.0,-3.21,1.52,0.0
20200106:0710,0.0,0.0,0.0,-3.38,1.66,0.0
20200106:0810,111.02,218.28,6.16,-3.0,1.66,0.0
20200106:0910,292.99,556.83,12.36,-0.67,1.52,0.0
20200106:1010,361.93,701.16,16.66,1.46,1.45,0.0
20200106:1110,398.14,784.82,18.68,3.35,1.45,0.0
20200106:1210,377.35,745.85,18.2,4.78,1.45,0.0
20200106:1310,320.86,630.55,15.28,5.55,1.38,0.0
20200106:1410,240.94,471.32,10.21,5.35,1.45,0.0
20200106:1510,2.87,14.87,3.39,3.95,2.07,0.0
20200106:1610,0.0,0.0,0.0,1.87,2.21,0.0
20200106:1710,0.0,0.0,0.0,0.71,2.14,0.0
20200106:1810,0.0,0.0,0.0,0.2,2.28,0.0
20200106:1910,0.0,0.0,0.0,0.02,2.55,0.0
20200106:2010,0.0,0.0,0.0,0.37,2.69,0.0
20200106:2110,0.0,0.0,0.0,0.87,2.83,0.0
20200106:2210,0.0,0.0,0.0,1.36,3.03,0.0
20200106:2310,0.0,0.0,0.0,1.8,3.24,0.0
20200107:0010,0.0,0.0,0.0,2.08,3.17,0.0
20200107:0110,0.0,0.0,0.0,2.26,3.17,0.0
20200107:0210,0.0,0.0,0.0,2.2,3.1,0.0
20200107:0310,0.0,0.0,0.0,1.82,2.97,0.0
20200107:0410,0.0,0.0,0.0,1.58,3.1,0.0
20200107:0510,0.0,0.0,0.0,1.67,3.03,0.0
20200107:0610,0.0,0.0,0.0,1.98,2.97,0.0
20200107:0710,0.0,0.0,0.0,2.21,2.55,0.0
20200107:0810,32.41,76.92,6.21,2.52,2.48,0.0
20200107:0910,48.73,107.32,12.44,2.8,2.48,0.0
20200107:1010,64.45,136.74,16.76,3.39,2.62,0.0
20200107:1110,96.78,195.79,18.79,3.74,2.62,0.0
20200107:1210,90.32,184.45,18.33,4.34,2.69,0.0
20200107:1310,35.7,83.85,15.43,4.68,2.34,0.0
20200107:1410,18.53,50.06,10.36,4.57,1.66,0.0
20200107:1510,0.0,3.5,3.55,4.13,1.24,0.0
20200107:1610,0.0,0.0,0.0,3.38,1.03,0.0
20200107:1710,0.0,0.0,0.0,2.11,1.31,0.0
20200107:1810,0.0,0.0,0.0,1.25,1.66,0.0
20200107:1910,0.0,0.0,0.0,0.4,1.79,0.0
20200107:2010,0.0,0.0,0.0,0.25,1.93,0.0
